Dashboard Name,Role
ILT Status Report,"rm, tm"
CDP Certification Report,"rm, tm"
Headcount Detailed Report,"rm, tm,pm"
Headcount Summary Report,"rm, tm"
ILP Report,"rm, tm,pm"
User Data Report (Active),"rm, tm,pm"
User Data Report (In-Active),"rm, tm,pm"
User Transactions report,"rm, tm,pm"
User training report,"rm, tm,pm"
Nomination Report,"rm, tm"
Plan Adherence Report,"rm, tm"
Mandays,"rm, tm"
Manhours,"rm, tm"
Coverage Report,"rm, tm"
Trainer Utilization Report,"rm, tm"
Trainer Effectiveness report,"rm, tm"
Course content rating report,"rm, tm"
E - Learning course Progress Report,"rm, tm"
Skill Gap Analysis Report,"rm, tm"
Team Learning Report,"rm, tm"
CDP Certification Report for RM,"rm, tm"
Customer Mandays Report,"rm,tm"
