Dashboard Name,Dashboard ID
ILT Status Report,"d7ef6c60-6a73-4fdf-b339-bbe82e5f4a37
"
CDP Certification Report,086bbe96-d5d1-4d89-b4a7-5e1125f57811
Headcount Detailed Report,4e58bbd2-f700-4652-865b-9a0297c2c5de
Headcount Summary Report,7fa4e735-126e-479e-b95e-71bb65b68e41
"ILP Report
","2c9f5297-e746-4c43-8722-6e0049d13d57
"
User Data Report (Active),fba3edcd-cc11-4f48-ad4a-673c32a7647e
User Data Report (In-Active),2c83c852-d969-4f95-90ea-514069d82c0f
User Transactions report,"54752a40-aaec-4c30-b021-0c52966da29f
"
User training report,"26e83111-1d05-46ff-9677-63bfb2475d38
"
Nomination Report,"99f26fcc-9bf3-4044-b7eb-f82ca48151ca
"
Plan Adherence Report,fc5e3269-ec75-40ac-a43f-d9beba44bbec
Mandays,"7752b0e7-2a52-459c-ad4d-79ca143a612d
"
Manhours,"6af6ecf3-13c2-4852-a529-ee4acc0143f3
"
Coverage Report,"4d8d4162-32eb-4918-90bd-494637509897
"
Trainer Utilization Report,"d2152e65-b65f-4185-8381-e80e5b3a4cd5
"
Trainer Effectiveness report,"f6c4ae30-3970-47d5-a2be-56433a3ff271
"
Course content rating report,"28c8f1d3-4e13-4eb8-8521-0fb6de35dd21
"
E - Learning course Progress Report,"fd4d879c-bfa8-45d4-80c6-29f65e2f7974

"
Skill Gap Analysis Report,"3fd1845e-332b-49e7-86ed-425378f637df
"
Team Learning Report,"db6b2995-08e1-4376-8f00-d5fc5eae5209
"
CDP Certification Report for RM,"9ae9db0e-94d1-4c43-8aac-7dc63fe56c99
"
Customer Mandays Report,"dfb33101-5ea9-4a86-bd7a-d1fb97ed20d3
"
